schema_context,column,check,check_number,failure_case,index
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-30,1725
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-30,1724
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-30,1723
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-30,1722
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-30,1721
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-30,1720
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-30,1719
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-30,1718
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-30,1717
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-30,1716
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-29,1715
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-29,1714
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1739
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1740
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1741
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1755
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1766
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1765
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1764
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1763
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1762
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1761
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1760
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-02,1759
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1758
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1757
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1756
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1754
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1742
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1753
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1752
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1751
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1750
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1749
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1748
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1747
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1746
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1745
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1744
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-01,1743
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-04,1824
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1826
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-09-29,1712
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1883
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1909
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1908
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1907
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1906
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1905
